Date_reported,Country,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
19/01/2021,Mexico,5255,1755783,1389,169326
20/01/2021,Mexico,19430,1775213,1389,170715
21/01/2021,Mexico,18843,1794056,1427,172142
22/01/2021,Mexico,17433,1811489,1476,173618
23/01/2021,Mexico,16878,1828367,1406,175024
24/01/2021,Mexico,16419,1844786,1380,176404
25/01/2021,Mexico,8736,1853522,1328,177732
26/01/2021,Mexico,4719,1858241,1404,179136
27/01/2021,Mexico,18017,1876258,1456,180592
28/01/2021,Mexico,17002,1893260,1402,181994
29/01/2021,Mexico,14939,1908199,1309,183303
30/01/2021,Mexico,14048,1922247,1230,184533
31/01/2021,Mexico,12385,1934632,1237,185770
01/02/2021,Mexico,6802,1941434,1224,186994
02/02/2021,Mexico,3695,1945129,1155,188149
03/02/2021,Mexico,4684,1949813,1276,189425
04/02/2021,Mexico,13485,1963298,1232,190657
05/02/2021,Mexico,11974,1975272,1140,191797
06/02/2021,Mexico,10919,1986191,1069,192866
07/02/2021,Mexico,10205,1996396,1022,193888
08/02/2021,Mexico,5320,2001716,1031,194919
09/02/2021,Mexico,2757,2004473,946,195865
10/02/2021,Mexico,11650,2016123,1053,196918
11/02/2021,Mexico,9304,2025427,951,197869
12/02/2021,Mexico,8618,2034045,871,198740
13/02/2021,Mexico,7861,2041906,909,199649
14/02/2021,Mexico,7672,2049578,840,200489
15/02/2021,Mexico,4001,2053579,762,201251
16/02/2021,Mexico,2163,2055742,772,202023
17/02/2021,Mexico,8269,2064011,796,202819
18/02/2021,Mexico,7755,2071766,772,203591
19/02/2021,Mexico,7040,2078806,738,204329
20/02/2021,Mexico,6974,2085780,676,205005
21/02/2021,Mexico,6747,2092527,711,205716
22/02/2021,Mexico,3422,2095949,608,206324
23/02/2021,Mexico,2050,2097999,717,207041
24/02/2021,Mexico,8594,2106593,720,207761
25/02/2021,Mexico,7454,2114047,598,208359
26/02/2021,Mexico,6814,2120861,592,208951
27/02/2021,Mexico,6740,2127601,571,209522
28/02/2021,Mexico,6836,2134437,563,210085
01/03/2021,Mexico,3516,2137953,581,210666
02/03/2021,Mexico,2107,2140060,576,211242
03/03/2021,Mexico,8618,2148678,576,211818
04/03/2021,Mexico,6922,2155600,550,212368
05/03/2021,Mexico,6538,2162138,498,212866
06/03/2021,Mexico,6303,2168441,504,213370
07/03/2021,Mexico,5994,2174435,512,213882
08/03/2021,Mexico,3074,2177509,474,214356
09/03/2021,Mexico,2001,2179510,477,214833
10/03/2021,Mexico,7046,2186556,514,215347
11/03/2021,Mexico,5939,2192495,451,215798
12/03/2021,Mexico,5486,2197981,519,216317
13/03/2021,Mexico,5315,2203296,482,216799
14/03/2021,Mexico,5203,2208499,405,217204
15/03/2021,Mexico,2679,2211178,420,217624
16/03/2021,Mexico,1566,2212744,454,218078
17/03/2021,Mexico,2147,2214891,394,218472
18/03/2021,Mexico,6688,2221579,390,218862
19/03/2021,Mexico,5223,2226802,396,219258
20/03/2021,Mexico,4969,2231771,371,219629
21/03/2021,Mexico,4712,2236483,374,220003
22/03/2021,Mexico,2443,2238926,347,220350
23/03/2021,Mexico,1547,2240473,377,220727
24/03/2021,Mexico,5869,2246342,355,221082
